record_id,first_name,last_name,gender,age,bday,role,crash_date,crash_hour,county,state,zip
12,Ronald,Clark,F,,1983-05-06,Driver,2024-12-25,3,New York,NY,
713,Kathleen,Martinez,M,,1955-04-21,Passenger,2024-08-30,3,,NY,14604.0
723,Susan,Rodriguez,F,89.0,1935-08-17,Driver,2024-12-04,6,Bronx,NY,
13,,Miller,F,21.0,2003-07-20,Passenger,2024-09-18,3,New York,NY,
14,Richard,Clark,F,88.0,1936-03-20,Driver,2024-10-18,9,New York,NY,11901.0
994,George,Anderson,M,29.0,1995-05-20,Driver,2024-12-21,18,Richmond,NY,
15,John,,F,89.0,1935-02-15,Driver,2024-07-31,20,Richmond,NY,
16,Michelle,Campbell,F,94.0,1930-09-15,Driver,2024-03-22,23,Onondaga,NY,
728,Carol,Nguyen,M,33.0,1991-09-07,Driver,2024-07-31,12,Onondaga,NY,14201.0
919,,Miller,M,22.0,2002-08-19,Driver,2024-11-26,8,Richmond,NY,
979,Charles,Anderson,M,84.0,1940-04-01,Driver,2024-09-08,22,Westchester,NY,11701.0
17,Matthew,Nguyen,F,25.0,1999-07-16,Driver,2024-01-04,11,Monroe,NY,11901.0
18,,Lopez,M,71.0,1953-08-11,Driver,2024-06-21,12,Monroe,NY,11901.0
19,David,Hill,,33.0,,Passenger,2024-02-25,18,Albany,NY,13021.0
978,Donna,Scott,F,,1944-07-21,Driver,2024-08-22,7,Queens,NY,10001.0
990,,Hill,M,22.0,2002-02-06,Driver,2024-06-13,7,New York,NY,
20,Margaret,White,F,35.0,1989-07-06,Driver,2024-09-24,20,Monroe,NY,
695,Ronald,Rivera,M,23.0,2001-05-01,Driver,2024-12-11,20,New York,NY,
834,,Hernandez,F,80.0,1944-02-22,Driver,2024-11-24,3,Nassau,NY,12207.0
21,Kimberly,Gonzalez,M,57.0,1967-09-25,Driver,2024-05-03,22,Onondaga,NY,
696,Betty,Gonzalez,F,76.0,1948-11-28,Driver,2024-07-25,8,New York,NY,
22,Susan,,M,59.0,1965-10-10,Driver,2024-02-21,6,Monroe,NY,10002.0
676,Joshua,Scott,M,64.0,1960-03-02,Driver,2024-12-13,22,Bronx,NY,
23,Amanda,Brown,M,45.0,1979-02-08,Driver,2024-03-01,17,New York,NY,11701.0
681,,Adams,M,73.0,1951-01-20,Driver,2024-10-06,18,Bronx,NY,
24,John,Anderson,M,23.0,2001-02-22,Driver,2024-04-29,8,Suffolk,NY,14830.0
25,Joshua,Taylor,M,25.0,1999-10-01,Driver,2024-12-10,8,Richmond,NY,
987,Cynthia,Harris,M,24.0,2000-08-17,Driver,2024-04-18,2,Albany,NY,
26,Linda,Sanchez,F,26.0,1998-11-28,Driver,2024-10-04,14,New York,NY,10002.0
673,Donna,Thomas,F,45.0,1979-06-10,Driver,2024-03-01,17,Monroe,NY,
793,Michelle,Green,M,59.0,1965-06-13,Driver,2024-05-24,14,,NY,14604.0
905,Susan,Thompson,F,29.0,1995-02-13,Driver,2024-04-08,1,Bronx,NY,10451.0
971,,Martinez,,81.0,1943-09-04,Driver,2024-10-02,19,Kings,NY,
27,Charles,Allen,F,80.0,1944-08-08,Driver,2024-08-21,17,Erie,NY,14201.0
28,Andrew,Harris,M,28.0,1996-06-24,Driver,2024-08-30,22,New York,NY,
29,Edward,Wright,M,23.0,2001-09-02,Driver,2024-11-12,2,Kings,NY,10001.0
950,Sarah,Sanchez,,46.0,1978-11-24,Driver,2024-01-10,3,Nassau,NY,14201.0
962,Sharon,Robinson,M,45.0,1979-05-05,Driver,2024-08-19,16,Onondaga,NY,
30,Michelle,Baker,M,35.0,1989-04-15,Driver,2024-11-22,8,Onondaga,NY,11701.0
704,Anthony,Harris,M,18.0,2006-03-09,Driver,2024-06-03,8,Bronx,NY,
727,Thomas,Scott,M,79.0,1945-05-01,Driver,2024-03-06,18,Westchester,NY,13202.0
921,William,Wright,M,17.0,2007-04-08,Driver,2024-06-25,3,Kings,NY,
31,Kevin,Sanchez,M,86.0,1938-12-02,Driver,2024-11-06,23,Onondaga,NY,11201.0
754,Richard,Jones,M,83.0,1941-11-04,Driver,2024-09-05,18,Bronx,NY,11901.0
32,Kimberly,Allen,F,42.0,1982-08-26,Driver,2024-05-31,23,Nassau,NY,
752,,,M,17.0,2007-05-18,Passenger,2024-02-16,3,New York,NY,10001.0
798,William,,,17.0,2007-04-01,Driver,2024-10-05,14,Kings,NY,
33,,,F,46.0,1978-10-08,Driver,2024-11-27,2,Suffolk,NY,
679,Deborah,Jones,F,88.0,1936-04-19,Driver,2024-05-19,13,Onondaga,NY,
34,Susan,Lewis,M,21.0,2003-02-22,Driver,2024-07-07,17,Suffolk,NY,
958,Daniel,Walker,,,1950-03-13,Driver,2024-07-14,22,Westchester,NY,
35,James,Moore,F,18.0,2006-09-09,Driver,2024-03-30,3,,NY,12207.0
36,Mary,Brown,F,53.0,1971-11-04,Driver,2024-09-08,22,Onondaga,NY,
816,William,Nguyen,,51.0,,Passenger,2024-02-17,17,Queens,NY,14201.0
37,,,M,46.0,1978-07-11,Passenger,2024-12-06,8,Nassau,NY,
692,Kimberly,Martinez,M,23.0,2001-06-27,Driver,2024-06-13,2,Nassau,NY,
839,Timothy,Lee,M,22.0,2002-01-04,Driver,2024-10-06,9,Erie,NY,10002.0
38,Steven,Wilson,F,92.0,1932-02-12,Driver,2024-10-11,11,Bronx,NY,11701.0
800,Elizabeth,Rivera,,20.0,2004-11-10,Driver,2024-09-07,6,Suffolk,NY,11701.0
953,John,Davis,F,21.0,2003-03-08,Driver,2024-04-26,22,Erie,NY,
39,Mary,Garcia,F,22.0,2002-08-11,Driver,2024-03-21,11,Monroe,NY,14604.0
947,John,Garcia,F,46.0,1978-09-13,Passenger,2024-07-31,6,Richmond,NY,14201.0
40,Susan,Martin,F,42.0,1982-05-11,Driver,2024-03-02,0,Onondaga,NY,
41,Sandra,Hall,F,17.0,2007-04-14,Driver,2024-10-28,12,Queens,NY,
42,Timothy,Nguyen,F,62.0,1962-11-21,Driver,2024-11-15,10,Suffolk,NY,
828,Christopher,Miller,M,94.0,1930-05-12,Driver,2024-07-02,10,Suffolk,NY,
927,Kevin,Rodriguez,M,42.0,1982-11-17,Driver,2024-05-04,6,Kings,NY,
43,Christopher,Hill,M,16.0,2008-08-04,Driver,2024-06-24,22,Bronx,NY,13021.0
891,Ryan,,F,17.0,2007-12-24,Passenger,2024-07-14,20,New York,NY,
44,Donna,Nelson,M,22.0,2002-03-20,Driver,2024-12-28,2,Monroe,NY,
45,Sharon,Mitchell,F,21.0,2003-10-05,Driver,2024-11-01,12,Erie,NY,12207.0
993,Rebecca,Thompson,M,79.0,1945-05-08,Passenger,2024-04-28,7,Suffolk,NY,
46,Matthew,Allen,M,38.0,1986-10-05,Driver,2024-05-08,1,Suffolk,NY,
47,Kathleen,Miller,F,90.0,1934-03-05,Driver,2024-01-20,9,Onondaga,NY,14604.0
48,Andrew,Thomas,F,,2008-10-12,Driver,2024-05-03,18,New York,NY,
734,,,M,83.0,1941-06-07,Driver,2024-02-02,4,Westchester,NY,
820,,Moore,M,64.0,1960-06-14,Driver,2024-12-13,15,Monroe,NY,
49,John,Thompson,M,,1987-11-15,Driver,2024-12-22,15,Suffolk,NY,
848,Mark,Hernandez,M,23.0,2001-02-17,Driver,2024-04-08,0,Bronx,NY,11901.0
50,Deborah,Lewis,F,70.0,1954-08-23,Driver,2024-09-11,11,Queens,NY,
966,Ashley,Rivera,M,46.0,1978-09-28,Driver,2024-09-12,1,,NY,
51,Robert,Nelson,F,90.0,1934-12-22,Driver,2024-03-22,0,Erie,NY,13202.0
755,Karen,Johnson,F,23.0,2001-11-28,Driver,2024-01-03,5,Queens,NY,10002.0
52,Linda,Taylor,F,39.0,1985-10-10,Driver,2024-12-21,15,Kings,NY,
965,Elizabeth,Jackson,F,,1997-11-19,Driver,2024-10-02,11,Kings,NY,
997,Joseph,Lee,M,17.0,2007-07-05,Driver,2024-06-22,0,New York,NY,
53,Ashley,Johnson,M,79.0,1945-09-05,Driver,2024-11-09,2,Bronx,NY,
954,Kenneth,White,F,30.0,1994-07-27,Driver,2024-04-18,19,,NY,14201.0
54,Cynthia,Jackson,F,24.0,2000-05-05,Driver,2024-11-16,9,Richmond,NY,
55,Karen,Walker,M,51.0,1973-05-15,Driver,2024-02-07,22,Albany,NY,
56,Cynthia,Hernandez,F,,1978-04-25,Driver,2024-03-22,15,Queens,NY,
857,Kenneth,Gonzalez,,31.0,,Driver,2024-09-17,2,Bronx,NY,10001.0
57,Nancy,Scott,M,79.0,1945-09-09,Driver,2024-11-15,21,Richmond,NY,
58,Karen,Nguyen,M,60.0,1964-08-23,Driver,2024-10-15,9,Onondaga,NY,
914,Nancy,Nguyen,M,16.0,2008-11-02,Driver,2024-02-26,3,Nassau,NY,12207.0
59,Linda,Gonzalez,M,18.0,2006-07-23,Driver,2024-04-14,13,Queens,NY,
726,Mark,Smith,M,36.0,1988-02-17,Driver,2024-12-06,3,New York,NY,
779,Kenneth,Scott,F,77.0,1947-11-27,Driver,2024-09-01,20,New York,NY,13502.0
60,Karen,Anderson,F,44.0,1980-12-07,Driver,2024-12-19,22,Onondaga,NY,
61,Sarah,Rodriguez,M,41.0,1983-04-02,Driver,2024-12-08,16,Kings,NY,12207.0
904,Michelle,Young,,20.0,2004-10-14,Driver,2024-07-01,10,Bronx,NY,
62,Anthony,Lopez,F,22.0,2002-08-06,Driver,2024-05-28,1,Albany,NY,
63,,Green,F,58.0,1966-06-03,Driver,2024-07-24,21,Bronx,NY,
64,Linda,Green,F,25.0,1999-04-08,Driver,2024-03-09,15,Erie,NY,
892,Elizabeth,Clark,F,35.0,1989-11-03,Driver,2024-11-20,15,Nassau,NY,
65,Edward,King,M,,1937-10-16,Driver,2024-02-16,16,Onondaga,NY,
863,Kenneth,Martinez,M,86.0,1938-03-17,Driver,2024-04-06,8,New York,NY,13502.0
985,Edward,Harris,F,69.0,1955-05-24,Driver,2024-09-05,13,Queens,NY,
66,Stephanie,Rodriguez,F,52.0,1972-06-13,Driver,2024-08-17,12,New York,NY,14201.0
67,Anthony,,F,27.0,1997-04-07,Driver,2024-02-04,3,Richmond,NY,
68,Emily,Nguyen,F,53.0,1971-09-16,Driver,2024-01-25,11,Suffolk,NY,11901.0
718,Stephanie,Martinez,F,24.0,2000-10-08,Driver,2024-04-24,8,Westchester,NY,
748,,,F,,1950-08-13,Pedestrian,2024-04-04,10,Suffolk,NY,10451.0
69,Jennifer,Wright,F,20.0,2004-07-22,Driver,2024-11-05,19,Albany,NY,
787,Mark,Scott,F,35.0,1989-04-07,Driver,2024-08-15,20,Westchester,NY,
915,Nancy,Robinson,F,20.0,2004-02-08,Driver,2024-06-24,8,Suffolk,NY,
952,,Moore,F,81.0,1943-12-04,Driver,2024-11-13,20,Onondaga,NY,
70,Sandra,Wright,F,21.0,2003-09-16,Driver,2024-08-26,3,Westchester,NY,
707,Lisa,Martinez,F,21.0,2003-07-20,Driver,2024-05-18,16,Albany,NY,14830.0
739,Sarah,Williams,M,25.0,1999-03-06,Driver,2024-12-06,5,Albany,NY,
71,Carol,Mitchell,F,,,Passenger,2024-10-06,15,Erie,NY,
825,,Davis,,87.0,1937-12-21,Driver,2024-01-03,9,Nassau,NY,13021.0
72,Paul,Scott,M,20.0,2004-09-10,Driver,2024-01-09,16,Westchester,NY,
73,Donald,Brown,F,31.0,1993-08-28,Driver,2024-08-10,20,Nassau,NY,14201.0
933,Kathleen,Hill,M,49.0,1975-09-08,Driver,2024-09-14,9,Kings,NY,
74,Edward,Harris,F,77.0,1947-12-05,Driver,2024-12-18,23,Bronx,NY,
772,Lisa,Baker,F,94.0,1930-04-28,Driver,2024-02-12,10,Suffolk,NY,11701.0
75,Melissa,Jones,M,18.0,2006-12-13,Driver,2024-06-11,11,Bronx,NY,
677,Matthew,Miller,M,82.0,,Driver,2024-01-25,10,Erie,NY,
916,Nancy,Thompson,,63.0,1961-06-16,Driver,2024-11-02,9,Onondaga,NY,11901.0
76,David,Rodriguez,M,18.0,,Driver,2024-08-10,8,New York,NY,
77,Barbara,Sanchez,F,,2001-10-26,Driver,2024-05-04,10,New York,NY,10451.0
78,Matthew,Jones,M,83.0,1941-07-18,Driver,2024-09-16,22,New York,NY,14830.0
753,,Clark,F,51.0,1973-09-02,Driver,2024-02-07,19,Richmond,NY,
79,Nancy,Sanchez,M,87.0,1937-09-05,Driver,2024-06-25,0,Onondaga,NY,
80,Kimberly,Lopez,F,22.0,2002-08-08,Driver,2024-07-26,20,,NY,11901.0
973,David,Smith,F,33.0,1991-11-22,Driver,2024-05-28,14,Erie,NY,14830.0
81,,Nguyen,M,79.0,1945-10-06,Passenger,2024-12-10,22,Monroe,NY,
948,Andrew,White,F,17.0,2007-08-22,Driver,2024-10-22,12,Monroe,NY,11201.0
82,Michelle,Brown,F,57.0,1967-03-07,Driver,2024-07-15,17,,NY,
691,Paul,Perez,F,19.0,2005-11-06,Driver,2024-01-12,18,Bronx,NY,12207.0
711,Stephanie,Anderson,M,27.0,1997-12-21,Driver,2024-07-03,23,Queens,NY,
83,Jason,Williams,F,71.0,1953-07-04,Driver,2024-11-30,7,Monroe,NY,
84,Charles,,,58.0,1966-11-27,Passenger,2024-02-18,4,New York,NY,
85,Sandra,Young,M,17.0,2007-12-15,Driver,2024-11-21,21,Westchester,NY,
764,Kimberly,Nguyen,M,53.0,1971-05-04,Driver,2024-11-23,22,Suffolk,NY,
86,Brian,Rodriguez,F,20.0,2004-02-21,Driver,2024-07-03,8,Bronx,NY,
799,,Walker,M,33.0,,Passenger,2024-09-13,9,Erie,NY,
87,Michael,Lee,M,22.0,2002-03-21,Driver,2024-12-12,4,Bronx,NY,
757,Elizabeth,Davis,M,30.0,1994-12-08,Driver,2024-02-12,10,Kings,NY,
88,Joshua,Jackson,F,92.0,1932-11-10,Driver,2024-04-15,16,Richmond,NY,
89,Robert,Smith,M,16.0,2008-07-17,Driver,2024-05-26,20,Westchester,NY,11201.0
90,Kathleen,Ramirez,M,66.0,1958-05-22,Driver,2024-12-02,23,Erie,NY,14201.0
729,Ryan,Williams,M,34.0,1990-03-22,Driver,2024-12-23,7,Monroe,NY,
932,Lisa,Thomas,M,22.0,,Driver,2024-06-23,5,New York,NY,
91,,Torres,M,17.0,,Driver,2024-02-29,7,Westchester,NY,11701.0
92,Joseph,King,F,30.0,1994-08-28,Driver,2024-05-24,9,Nassau,NY,10451.0
93,George,Martin,M,72.0,1952-07-16,Driver,2024-01-31,4,Westchester,NY,
858,Carol,Hernandez,,43.0,1981-02-23,Driver,2024-11-11,16,Westchester,NY,10002.0
869,,Wilson,F,93.0,1931-11-14,Driver,2024-10-21,16,Nassau,NY,10451.0
94,Sarah,Anderson,,25.0,1999-02-05,Driver,2024-02-24,5,Onondaga,NY,
783,,Thompson,F,41.0,1983-08-27,Pedal Cycle,2024-07-06,21,New York,NY,
855,Betty,Williams,M,72.0,1952-10-20,Driver,2024-05-13,11,Monroe,NY,
955,Rebecca,Robinson,F,70.0,1954-07-05,Driver,2024-06-26,19,Bronx,NY,14604.0
95,Mary,Sanchez,F,82.0,1942-04-04,Driver,2024-08-24,3,Erie,NY,
981,Kevin,,M,,1982-02-17,Driver,2024-11-18,5,Queens,NY,
96,Kathleen,Torres,M,57.0,1967-01-13,Driver,2024-12-15,13,Erie,NY,
901,David,,F,26.0,1998-02-17,Driver,2024-04-21,4,Kings,NY,
97,Daniel,Walker,M,94.0,1930-10-17,Driver,2024-06-13,12,Monroe,NY,
98,Daniel,Lopez,F,90.0,1934-12-23,Driver,2024-07-02,18,Albany,NY,
670,Barbara,,F,23.0,2001-05-18,Driver,2024-11-07,0,Monroe,NY,11701.0
99,Laura,Lee,M,18.0,2006-02-28,Driver,2024-09-26,11,Bronx,NY,
1000,,Taylor,F,58.0,1966-02-05,Driver,2024-02-14,7,Albany,NY,13021.0
100,Betty,Torres,M,94.0,1930-10-08,Passenger,2024-11-23,18,Bronx,NY,13202.0
898,James,,M,86.0,1938-08-03,Driver,2024-10-22,19,Albany,NY,
917,,Wilson,F,95.0,1929-11-10,Driver,2024-08-15,0,Monroe,NY,12207.0
980,,Hill,F,21.0,2003-03-15,Driver,2024-06-16,20,New York,NY,10002.0
101,Ashley,Harris,M,91.0,1933-08-26,Driver,2024-10-22,20,Suffolk,NY,13502.0
102,Susan,Gonzalez,M,94.0,1930-12-18,Driver,2024-05-15,21,Monroe,NY,10451.0
103,Paul,Harris,M,49.0,1975-03-15,Driver,2024-01-23,8,Onondaga,NY,10451.0
104,John,Allen,F,83.0,1941-11-20,Driver,2024-03-16,3,Onondaga,NY,14201.0
105,Ronald,Clark,M,25.0,1999-10-19,Driver,2024-02-21,3,Richmond,NY,
885,Robert,Allen,F,21.0,2003-09-12,Passenger,2024-04-10,8,,NY,
106,Karen,Martin,M,87.0,1937-11-04,Passenger,2024-04-26,4,Monroe,NY,
107,Jeffrey,,F,23.0,2001-01-12,Driver,2024-12-26,6,Monroe,NY,
108,,Baker,M,81.0,1943-01-28,Passenger,2024-12-15,0,Onondaga,NY,
740,Michael,Gonzalez,M,18.0,2006-09-13,Driver,2024-02-29,6,Erie,NY,
109,Emily,Adams,,17.0,2007-08-03,Driver,2024-06-21,8,Suffolk,NY,14830.0
110,Jason,Gonzalez,M,60.0,1964-11-26,Driver,2024-08-31,21,Nassau,NY,
835,Steven,Davis,F,25.0,1999-02-24,Driver,2024-01-28,23,Queens,NY,14604.0
111,Linda,Walker,M,83.0,1941-10-03,Driver,2024-08-29,6,Queens,NY,11201.0
868,Thomas,,M,75.0,1949-07-16,Driver,2024-07-02,13,New York,NY,
112,David,Young,F,34.0,1990-10-14,Driver,2024-11-20,13,New York,NY,13021.0
113,George,,F,,2006-06-16,Passenger,2024-07-02,6,Erie,NY,14604.0
811,Sharon,Garcia,M,24.0,2000-04-22,Driver,2024-05-05,0,Richmond,NY,
935,Timothy,Hill,M,80.0,1944-02-28,Driver,2024-09-05,22,Albany,NY,
114,Brian,Martinez,M,65.0,1959-05-14,Driver,2024-12-04,3,Suffolk,NY,
900,George,Sanchez,,42.0,1982-09-25,Driver,2024-09-21,12,Suffolk,NY,13021.0
115,James,Smith,F,62.0,1962-11-16,Driver,2024-03-17,2,,NY,13202.0
116,Sarah,Campbell,M,37.0,1987-02-13,Driver,2024-07-23,14,,NY,
117,Linda,Clark,M,21.0,2003-01-23,Driver,2024-12-13,16,Westchester,NY,
847,Jennifer,Thompson,F,18.0,2006-12-20,Driver,2024-02-28,21,Suffolk,NY,14830.0
118,David,Jones,F,21.0,2003-05-02,Driver,2024-09-16,7,Queens,NY,10001.0
119,Nancy,Brown,F,47.0,1977-09-25,Driver,2024-11-13,19,Onondaga,NY,
120,Sandra,Gonzalez,F,22.0,2002-01-21,Driver,2024-12-10,18,Bronx,NY,
744,Emily,Nguyen,F,78.0,1946-03-25,Driver,2024-11-20,18,Queens,NY,
826,Timothy,Young,F,47.0,1977-04-03,Driver,2024-02-21,3,Erie,NY,
882,James,Campbell,M,57.0,1967-07-10,Driver,2024-01-09,10,Monroe,NY,
121,Timothy,Thomas,M,44.0,1980-08-26,Driver,2024-03-09,4,New York,NY,
813,Kimberly,Nelson,F,22.0,2002-11-06,Driver,2024-08-23,12,Erie,NY,10002.0
122,Kevin,Rivera,M,60.0,1964-05-28,Driver,2024-08-04,0,Queens,NY,14201.0
123,Ronald,Hall,M,94.0,1930-07-13,Passenger,2024-08-01,21,Nassau,NY,11901.0
767,Betty,Hill,F,21.0,2003-09-11,Driver,2024-06-25,15,Nassau,NY,
796,,Adams,F,36.0,,Pedestrian,2024-07-17,12,Suffolk,NY,
124,Sarah,Scott,M,20.0,2004-01-11,Driver,2024-08-26,22,Erie,NY,13502.0
871,Laura,Rivera,F,70.0,1954-07-28,Driver,2024-06-03,16,Bronx,NY,10451.0
125,,Flores,M,,1998-02-22,Passenger,2024-06-26,14,Kings,NY,10001.0
781,Robert,Wilson,M,84.0,1940-11-21,Driver,2024-09-14,12,New York,NY,
126,Kevin,Green,F,53.0,1971-02-07,Driver,2024-10-02,22,,NY,
747,Rebecca,Wilson,M,80.0,1944-12-06,Driver,2024-01-03,3,Monroe,NY,
874,Paul,Jones,F,19.0,2005-06-15,Driver,2024-12-13,13,Bronx,NY,
899,Melissa,Torres,M,17.0,2007-05-15,Driver,2024-10-15,23,Albany,NY,13202.0
918,Linda,Scott,M,21.0,2003-01-17,Passenger,2024-12-30,6,,NY,
127,Deborah,Nguyen,M,48.0,1976-09-04,Driver,2024-05-28,21,Monroe,NY,13502.0
725,Rebecca,Harris,M,71.0,1953-05-10,Driver,2024-07-15,15,Westchester,NY,14830.0
743,Steven,Brown,F,74.0,1950-02-09,Driver,2024-08-30,11,Kings,NY,13021.0
771,,Hill,M,75.0,1949-08-10,Passenger,2024-10-26,0,,NY,
946,Anthony,Martin,F,90.0,1934-01-16,Passenger,2024-10-12,13,,NY,
128,John,,F,82.0,,Passenger,2024-04-17,23,Westchester,NY,14830.0
129,Michelle,Jones,M,23.0,2001-06-20,Driver,2024-12-03,9,Westchester,NY,
699,Brian,Jones,M,88.0,1936-12-06,Driver,2024-03-11,6,Richmond,NY,11701.0
130,Cynthia,,M,30.0,1994-12-03,Driver,2024-01-10,16,Suffolk,NY,
789,Laura,Wright,M,39.0,1985-07-28,Driver,2024-08-19,21,Richmond,NY,14604.0
934,Susan,Hall,F,18.0,2006-12-03,Driver,2024-06-04,1,Bronx,NY,
131,Timothy,Allen,M,25.0,1999-10-22,Driver,2024-03-15,23,Westchester,NY,
701,Nancy,Sanchez,M,62.0,1962-10-18,Driver,2024-05-18,12,Albany,NY,
792,Patricia,Jackson,,21.0,2003-07-13,Driver,2024-09-17,10,Bronx,NY,
132,Matthew,White,F,30.0,1994-09-09,Driver,2024-07-11,7,Queens,NY,
133,Carol,Clark,M,25.0,1999-10-06,Driver,2024-03-09,20,Queens,NY,14201.0
944,Amanda,Smith,F,18.0,2006-04-11,Driver,2024-08-12,17,New York,NY,14201.0
983,Elizabeth,Taylor,M,38.0,1986-12-03,Driver,2024-05-05,14,Kings,NY,13021.0
134,Steven,Taylor,M,94.0,1930-08-20,Driver,2024-10-29,2,Kings,NY,10001.0
135,Laura,Williams,F,95.0,1929-08-26,Driver,2024-07-14,11,Richmond,NY,
716,Mark,Clark,M,18.0,2006-01-22,Driver,2024-09-02,12,Bronx,NY,13502.0
136,Thomas,Taylor,F,76.0,1948-10-09,Driver,2024-12-14,12,Kings,NY,13021.0
687,Matthew,Taylor,F,68.0,1956-11-26,Driver,2024-06-12,22,Onondaga,NY,
137,David,Harris,F,17.0,2007-03-16,Driver,2024-11-03,13,Bronx,NY,
802,Michelle,Rivera,M,20.0,2004-03-22,Driver,2024-07-13,21,Westchester,NY,11701.0
138,David,Baker,M,16.0,2008-03-03,Driver,2024-05-21,12,Nassau,NY,
959,Kenneth,,F,,1955-08-08,Passenger,2024-02-25,22,Bronx,NY,
139,Linda,Allen,F,62.0,1962-05-23,Driver,2024-08-14,12,,NY,10451.0
817,Kenneth,Lopez,M,,1933-08-12,Driver,2024-11-23,14,Albany,NY,14604.0
140,Robert,Scott,F,76.0,1948-04-19,Driver,2024-05-17,5,Westchester,NY,
751,John,Garcia,M,20.0,2004-04-16,Driver,2024-12-06,13,Onondaga,NY,
838,Stephanie,Campbell,F,23.0,2001-11-12,Driver,2024-06-01,20,Bronx,NY,
141,Laura,Moore,M,58.0,1966-05-13,Driver,2024-04-23,18,Erie,NY,
142,Lisa,White,M,78.0,1946-12-25,Driver,2024-07-09,11,New York,NY,
143,Thomas,Scott,F,,2007-12-06,Driver,2024-01-31,6,Monroe,NY,14830.0
703,Kevin,King,F,21.0,2003-08-12,Driver,2024-02-21,5,Monroe,NY,
854,Susan,Hill,F,21.0,2003-06-04,Unknown,2024-08-12,8,Bronx,NY,10002.0
144,Laura,Hernandez,F,52.0,1972-11-20,Driver,2024-10-19,12,Bronx,NY,
145,Robert,Walker,M,22.0,2002-09-25,Driver,2024-02-12,3,Monroe,NY,
146,Kenneth,Mitchell,F,81.0,1943-11-21,Driver,2024-09-30,9,,NY,
780,Nancy,,M,67.0,1957-05-28,Driver,2024-03-18,19,Monroe,NY,11201.0
805,Donald,Torres,M,19.0,2005-12-17,Driver,2024-07-30,20,New York,NY,
147,Richard,Clark,F,72.0,1952-03-23,Driver,2024-11-26,12,New York,NY,14604.0
876,Charles,Allen,F,21.0,2003-04-15,Driver,2024-08-23,8,Albany,NY,14604.0
148,Mary,Lopez,F,,2006-12-15,Driver,2024-01-05,7,Bronx,NY,11201.0
738,Michael,Jackson,F,22.0,2002-08-02,Driver,2024-02-22,10,,NY,
149,Stephanie,,M,38.0,,Pedestrian,2024-02-18,16,Suffolk,NY,
150,Jessica,Smith,F,87.0,1937-08-23,Driver,2024-11-01,4,Nassau,NY,11901.0
151,William,Taylor,F,79.0,1945-09-10,Driver,2024-10-04,22,Onondaga,NY,
152,Kevin,Wright,F,23.0,2001-09-05,Driver,2024-11-09,9,Nassau,NY,
